Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D54,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,243.6495,-137.38225,90,bottom
D55,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,262.6995,-137.38225,90,bottom
D56,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,281.7495,-137.38225,90,bottom
D57,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,299.213,-137.37995,90,bottom
D58,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,302.3878,-137.37995,90,bottom
D59,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,331.75575,-137.38225,90,bottom
D60,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,343.662,-137.38225,90,bottom
D61,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,62.6904,-156.42875,90,bottom
D62,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.77285,-156.43105,90,bottom
D63,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.8245,-156.43225,90,bottom
D64,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.8745,-156.43225,90,bottom
D65,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,157.9245,-156.43225,90,bottom
D66,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.9745,-156.43225,90,bottom
D67,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,196.0245,-156.43225,90,bottom
D68,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,215.0745,-156.43225,90,bottom
D69,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,234.1245,-156.43225,90,bottom
D70,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,253.1745,-156.43225,90,bottom
D71,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,272.2245,-156.43225,90,bottom
D72,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,291.2745,-156.43225,90,bottom
D73,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,317.46825,-156.43225,90,bottom
D74,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,324.612,-156.43225,90,bottom
D75,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,343.662,-156.43225,90,bottom
D76,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,61.88075,-175.48225,90,bottom
D77,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,103.15575,-175.48225,90,bottom
D78,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126.96825,-175.48225,90,bottom
D79,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,198.40575,-175.48225,90,bottom
D80,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,267.462,-175.48225,90,bottom
D81,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,286.512,-175.48225,90,bottom
D82,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,305.562,-175.48225,90,bottom
D83,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,324.612,-175.48225,90,bottom
D84,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,342.392,-175.48225,90,bottom
D85,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,344.932,-175.48225,90,bottom
F1,500mA,Fuse_1206_3216Metric,78.10385,-83.0897,90,bottom
J1,USB_B_Micro,USB_Micro-B_Wuerth_629105150521,83.80575,-73.2155,0,bottom
R1,22,R_0805_2012Metric,84.8233,-87.3756,90,bottom
R2,22,R_0805_2012Metric,82.2198,-87.3756,90,bottom
R3,10k,R_0805_2012Metric,147.601,-177.00742,270,bottom
R5,470,R_0805_2012Metric,73.533,-143.764,0,bottom
R6,10k,R_0805_2012Metric,162.56005,-162.4013,90,bottom
U1,ATmega32U4-AU,ATMEGA32U4-AU,154.2765,-169.90375,270,bottom
U2,SRV05-4,SOT-23-6,83.4771,-81.2155,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,166.6498,-169.9202,90,bottom
