Designator,Mid X,Mid Y,Rotation,Layer
MX62,-119.042,-28.574,0.0,top
MX63,-100.0125,-28.575,0.0,top
MX64,-80.9625,-28.575,0.0,top
MX65,-61.9125,-28.575,0.0,top
MX66,-42.8625,-28.575,0.0,top
MX67,-23.8125,-28.575,0.0,top
MX68,-4.7625,-28.575,0.0,top
MX69,14.2875,-28.575,0.0,top
MX7,-19.05,47.625,0.0,top
MX70,33.3375,-28.575,0.0,top
MX71,52.3875,-28.575,0.0,top
MX72,71.4375,-28.575,0.0,top
MX73,97.63125,-28.575,0.0,top
MX74,123.825,-28.575,0.0,top
MX75,142.875,-28.575,0.0,top
MX76,-140.49375,-47.625,0.0,top
MX77,-116.68125,-47.625,0.0,top
MX78,-92.86875,-47.625,0.0,top
MX79,-21.3995,-47.625,0.0,top
MX8,0.0,47.625,0.0,top
MX80,47.625,-47.625,0.0,top
MX81,66.675,-47.625,0.0,top
MX82,85.725,-47.625,0.0,top
MX83,104.775,-47.625,0.0,top
MX84,123.825,-47.625,0.0,top
MX85,142.875,-47.625,0.0,top
MX9,19.05,47.625,0.0,top
R1,-125.4125,38.1004,90.0,bottom
R2,-128.016,38.1004,270.0,bottom
R3,-136.779,-18.288,180.0,bottom
R4,-47.75195,-36.9253,90.0,bottom
R5,-62.711,-51.53142,270.0,bottom
U1,-56.0355,-44.42775,270.0,bottom
U2,-126.7647,44.2605,180.0,bottom
Y1,-43.6622,-44.4442,90.0,bottom
